patch,Faustus,Ritual,Ultimatum,3.18,3.19,3.20,3.21,3.22,3.23,3.24,3.25,All samples
Parasitic Passengers,250,3,2,514,571,542,848,600,492,513,439,
Rebirth and Renewal,250,3,2,155,73,157,116,168,123,0,404,
Something Dark,250,3,3,0,354,265,411,587,505,517,575,
The Conduit,250,3,2,1065,571,490,362,498,452,454,467,
The Cursed King,250,3,3,772,495,675,665,705,621,491,624,
The Escape,250,3,3,519,207,224,551,565,569,521,483,
The Ethereal,250,3,2,536,480,569,497,546,565,510,537,
The Hunger,250,3,2,394,422,510,551,486,448,457,451,
The Side Quest,250,3,3,546,540,733,645,712,607,673,580,
The Siren,250,3,3,504,480,516,497,571,505,624,471,
The Spark and the Flame,250,3,3,39,465,618,724,705,492,576,646,
The Warlord,250,3,3,632,602,641,704,619,579,580,619,
Turn the Other Cheek,250,3,3,21470,8901,558,588,510,565,457,606,
The Cartographer,250,4,2,7089,6147,7394,9112,7166,6930,6699,491,
The Eldritch Decay,250,Boss,2,459,422,348,514,459,452,0,0,
Abandoned Wealth,275,2,2,363,451,326,497,394,431,382,389,
Baited Expectations,275,2,2,803,381,400,394,453,465,365,415,
Divine Beauty,275,2,2,0,0,516,330,408,385,400,374,
Echoes of Love,275,2,2,1353,480,339,497,442,389,491,377,
Endless Night,275,2,2,0,253,358,394,430,356,312,412,
Justified Ambition,275,2,2,410,422,326,588,447,422,472,404,
The Bones,275,2,2,436,437,429,330,413,457,372,512,
The Card Sharp,275,2,2,1349,820,1328,1069,1408,1317,457,404,
The Finishing Touch,275,2,2,0,0,449,411,498,546,465,370,
The Formless Sea,275,2,0,3168,2125,353,256,495,397,312,9,
The Jester,275,2,2,438,315,395,479,430,448,348,344,
The King's Heart,275,2,2,1264,408,405,533,427,401,358,377,
The Magma Crab,275,2,2,545,602,400,346,391,373,487,400,
The Mind's Eyes,275,2,2,249,144,104,128,126,431,393,301,
The Offering,275,2,2,684,525,500,514,534,439,476,459,
The Twilight Moon,275,2,2,3466,381,495,394,391,348,407,400,
The Unexpected Prize,275,2,2,975,480,353,330,301,393,403,315,
The Whiteout,275,2,2,884,408,400,330,427,405,439,439,
The Wind,275,2,2,398,367,500,362,311,418,410,326,
Costly Curio,275,Boss,2,436,341,449,626,388,501,0,0,
Reckless Ambition,275,Boss,2,360,381,415,394,445,410,0,0,
The Tyrant,275,,2,396,381,295,315,405,444,414,431,
The Wolven King's Bite,275,,2,215,556,454,378,442,470,457,475,
Unchained,275,,2,560,328,372,479,380,474,386,389,
Disdain,300,2,2,363,367,308,346,383,422,259,366,
The Enthusiasts,300,2,2,83,381,312,411,345,280,241,284,
Azyran's Reward,300,Boss,2,355,354,312,228,342,426,0,0,
The Dungeon Master,300,Boss,2,315,354,415,411,298,298,0,0,
The Mad King,300,Boss,2,1119,0,490,806,652,523,0,0,
The Pact,300,Boss,2,276,253,282,188,285,337,0,0,
A Chilling Wind,325,2,2,0,0,0,242,273,283,262,264,
A Dusty Memory,325,2,2,0,0,265,394,358,283,335,257,
Checkmate,325,2,2,0,241,201,362,276,313,271,231,
Hunter's Reward,325,2,2,32,315,160,188,239,230,214,209,
The Darkest Dream,325,2,2,553,302,558,346,293,251,315,319,
The Offspring,325,2,2,325,328,212,300,225,247,229,244,
The Scout,325,2,2,275,164,224,285,235,244,203,238,
The Seeker,325,2,2,328,302,232,242,295,226,229,271,
The Sephirot,325,2,2,273,354,236,188,311,306,235,206,
The Transformation,325,2,2,838,0,308,285,301,276,283,209,
The Forgotten Treasure,325,Boss,2,480,277,326,242,369,276,0,0,
Bijoux,350,2,2,220,185,175,163,198,186,184,170,
Lucky Deck,350,2,2,264,134,244,315,201,287,247,225,
Merciless Armament,350,2,2,252,164,189,285,251,189,206,200,
Peaceful Moments,350,2,2,244,241,216,270,235,158,165,238,
The Breach,350,2,2,902,480,464,256,221,199,226,197,
The Obscured,350,2,2,438,367,410,285,214,206,220,165,
The Road to Power,350,2,2,234,230,248,270,209,219,241,194,
The Shepherd's Sandals,350,2,2,0,253,232,139,205,223,244,194,
The Tinkerer's Table,350,2,2,443,241,189,411,239,258,187,200,
Chasing Risk,350,Boss,2,478,277,160,188,172,203,0,0,
Council of Cats,350,Boss,2,217,185,193,270,230,131,0,0,
A Note in the Wind,350,,2,284,0,143,300,256,226,209,162,
Mawr Blaidd,350,,2,358,241,212,175,212,265,198,185,
Desperate Crusade,375,1,1,315,98,143,128,160,180,147,129,
Alluring Bounty,375,2,1,161,154,193,163,183,120,184,168,
Deathly Designs,375,2,1,158,381,153,214,152,183,150,156,
Harmony of Souls,375,2,1,192,107,193,151,183,216,195,176,
The Avenger,375,2,1,504,164,136,256,237,219,163,137,
The Brawny Battle Mage,375,2,1,186,144,178,256,164,189,170,173,
The Polymath,375,2,1,446,144,160,214,162,209,173,148,
Brotherhood in Exile,375,Boss,1,162,164,146,214,219,174,0,0,
The Blessing of Moosh,375,,1,2424,1911,2233,2078,2541,0,181,142,
The Cacophony,375,,1,170,230,143,163,216,193,147,203,
The Price of Prescience,375,,1,207,107,189,139,179,164,150,126,
The Prince of Darkness,375,,1,192,144,175,128,207,174,206,179,
Toxic Tidings,375,,1,0,0,0,0,0,0,0,185,
From Bone to Ashes,400,2,1,265,107,153,270,187,155,181,170,
The Throne,400,2,1,226,125,193,175,148,174,168,145,
Judging Voices,400,Boss,1,34,134,110,66,117,115,0,0,
The Queen,400,Boss,1,138,116,126,66,132,140,0,0,
Akil's Prophecy,400,,1,7427,0,116,128,132,170,120,129,
The Academic,400,,1,298,154,160,242,146,177,155,168,
The Deep Ones,400,,1,149,164,113,128,160,155,130,116,
The Professor,400,,1,2686,302,295,201,142,134,130,145,
A Stone Perfected,425,2,1,216,154,157,95,128,104,116,99,
Bowyer's Dream,425,2,1,100,89,78,201,95,86,120,121,
The Dreamer,425,,1,280,196,208,116,104,129,137,124,
The Rusted Bard,425,,1,0,0,0,175,140,180,93,114,
The Shortcut,425,,1,122,89,113,163,121,109,83,126,
Gift of Asenath,450,2,1,6,98,116,256,80,117,85,111,
The Bitter Blossom,450,2,1,105,107,86,116,94,104,113,94,
Misery in Darkness,450,Boss,1,86,107,143,66,117,91,0,0,
Doryani's Epiphany,450,,1,0,125,107,201,90,0,46,94,
Gemcutter's Mercy,450,,1,0,107,54,163,53,106,113,97,
Pride Before the Fall,450,,1,177,134,107,95,97,106,102,74,
The Brittle Emperor,450,,1,62,107,72,116,113,96,107,129,
The Nurse,450,,1,227,154,75,66,152,149,93,97,
The Thaumaturgist,450,,1,44,116,110,116,119,101,130,76,
The Hook,475,1,1,58,20,51,26,50,0,95,109,
A Modest Request,475,Boss,1,88,107,89,57,85,109,0,0,
Lethean Temptation,475,Boss,1,0,44,51,95,99,47,0,0,
Rebirth,475,Boss,1,203,73,139,66,83,83,0,0,
Home,475,,1,81,58,75,85,90,106,102,119,
Avian Pursuit,500,1,1,0,0,0,0,0,0,0,83,
Dark Dreams,500,1,1,85,51,69,106,71,93,73,92,
Dementophobia,500,1,1,60,51,56,57,60,69,77,67,
